"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1995,-0.581445824486695,-0.46724261289618,-0.425171846924079,-0.35938414245175,-0.109308279293185,0.0489604501963668,0.0975041567835382,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1995,-0.584584759827571,-0.572243960560924,-0.559419445967583,-0.499381681305703,-0.440092634909246,-0.0411029827465973,0.0701299830372577,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1996,-0.844326716131096,-0.828482865253606,-0.825709101058408,-0.78944399601591,-0.663151363483415,-0.545809926690421,-0.455188173582265,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1996,0.308103731714233,0.330004345133627,0.400251398474479,0.450257105703465,0.582675757051528,0.588357001148371,0.623802632510693,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1996,-0.535592662313909,-0.454383743366992,-0.266511971410659,-0.159888163756142,-0.139476423813238,-0.118848869301483,-0.0979290107399534,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1996,0.23700130221918,0.279173177260039,0.315411946735204,0.358056565636693,0.414469893892916,0.64058818005435,0.657589507187662,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1996,-0.792053520533623,-0.734686277250773,-0.681901893360922,-0.665180426129524,-0.630320924275104,-0.573732376648614,-0.510461472316597,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1997,-1.39346031376625,-1.30133880967123,-1.21393047307004,-1.17876341460115,-1.12508317535563,-1.09721086301267,-1.06954647094688,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1997,0.823511148472906,0.962610487544823,1.05378467492528,1.31269277495251,1.35801429907704,1.365890475912,1.37519514474436,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1997,-0.829009887274804,-0.672523869756736,-0.444579913017923,-0.390127582224645,-0.33100706313475,-0.204389728690051,-0.159670857402436,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1997,-0.159146676083723,-0.156035503796006,-0.136999875004268,-0.062718593775064,0.0562312513921135,0.260074343574529,0.302031042748589,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1997,-1.38664057440696,-1.33924673524397,-0.972460049868058,-0.71261076187927,-0.699338003609332,-0.637243728728644,-0.552231400345915,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1998,-1.15835270773036,-1.15194738027118,-1.1276809667024,-1.08994521179761,-1.06632284115029,-0.923524756607094,-0.825097428211681,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1998,0.152956577571343,0.189948788432446,0.232246294625969,0.317976445338918,0.379617164573571,0.557622416653694,0.597265544597114,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1998,-0.523706224353744,-0.519154462202372,-0.502718573300927,-0.441732302678188,-0.351293928211189,-0.280531150597729,-0.245455934162567,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1998,-0.400605964657928,-0.108672727184805,0.0413890940016,0.119790173246967,0.199948321772082,0.483577891615808,0.685613765388856,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1998,-0.621500584416839,-0.538524530150264,-0.151892481216509,-0.0173509262304485,0.0315208063920697,0.100475519589639,0.124266787311904,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1999,-1.09265299248477,-0.991405956992255,-0.939629254297048,-0.902741619779582,-0.812396521367567,-0.684102236126837,-0.643471262055342,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1999,0.24292123470611,0.281889671853517,0.347082447964292,0.479738541558161,0.615526360884326,0.687442002411058,0.865994088168055,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1999,0.107479547117531,0.145445545273846,0.181743944714339,0.194609201867419,0.216984402447993,0.389301091846011,0.423992121931619,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1999,-0.708080517222815,-0.665650272803582,-0.626168960863188,-0.603305346864181,-0.566991642506128,-0.513975206622107,-0.39077510200542,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1999,-1.10429769078209,-1.0752342267777,-0.992274740695832,-0.938802278552148,-0.902217255657101,-0.875045625806478,-0.864994873348863,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",2000,-0.785569474256631,-0.70182035201844,-0.678875921924055,-0.639730258962998,-0.510019928618922,-0.469575378456286,-0.419321333334639,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",2000,-0.0945525082650736,-0.0724115011072478,0.00949690350464927,0.0486707905525517,0.184409197947229,0.25705122600959,0.275871272125557,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",2000,-0.346990149094597,-0.253347008650051,-0.218553521182315,-0.178549976128744,-0.140207331850901,0.0602979421373321,0.154641253098245,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",2000,-1.15771444784731,-1.06040895126462,-1.03997381148201,-1.01354512749206,-0.938094973869351,-0.877585692797102,-0.850495920270906,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",2000,-0.343814419816965,-0.249622641834265,-0.176581966970642,-0.145729052936664,-0.0898773287788305,-0.0499997270373055,0.0134104666201979,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",2001,-1.39331642498586,-1.34153843183354,-1.32139698492872,-1.24073986983491,-1.11836227358607,-1.05260553923647,-0.975995137220281,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",2001,0.495992661256662,0.561938707583426,0.781059272186549,0.927294127460103,1.08692233241518,1.10517200062231,1.1096474570638,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",2001,-1.23323253039114,-1.21760168491383,-1.17088784027027,-1.08939877098797,-1.03033983037905,0.00622540377739191,0.0650419088678737,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",2001,-0.698392640261097,-0.55242909456653,-0.510424596070968,-0.431956957215297,-0.351599248591299,-0.313436025582527,-0.285313357249042,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",2001,-0.116956008422028,-0.0780108378985991,-0.0167674941706015,0.190029250789752,0.258473326854318,0.287500380885307,0.325947967904949,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",2002,-0.605778575108691,-0.597622657573909,-0.589248832437067,-0.551972950566975,-0.490782666116628,-0.441359029804986,-0.386695219184205,25
